Hotel Name,City,State,Nearest Airport 1,Distance to Airport 1 (miles),Nearest Airport 2,Distance to Airport 2 (miles),Nearest Airport 3,Distance to Airport 3 (miles),Average Price per Night (USD)
Ocean View Hotel,Seattle,WA,SEA,35.9,PAE,23.3,BFI,30.6,216.0
Harbor View Hotel,New York,NY,JFK,33.9,LGA,18.2,EWR,37.1,164.11
Crystal Waters Hotel,Phoenix,AZ,PHX,46.8,AZA,35.4,SDL,2.6,223.73
Maple Leaf Lodge,San Francisco,CA,SFO,8.1,OAK,33.0,SJC,21.2,178.31
Capitol Stay,Washington,DC,DCA,31.4,IAD,8.7,BWI,30.8,130.98
Metro Inn,Los Angeles,CA,LAX,48.9,BUR,40.8,LGB,44.1,104.48
Crystal Waters Hotel,Miami,FL,MIA,41.0,FLL,26.0,PBI,42.7,211.08
Capitol Stay,Phoenix,AZ,PHX,14.3,AZA,1.7,SDL,43.7,270.8
Grand Plaza,New York,NY,JFK,23.5,LGA,34.8,EWR,29.5,226.32
Lakeside Inn,Seattle,WA,SEA,37.4,PAE,31.3,BFI,13.2,287.17
Harbor View Hotel,Seattle,WA,SEA,49.0,PAE,18.8,BFI,42.6,106.62
Desert Resort,Chicago,IL,ORD,28.7,MDW,34.9,RFD,12.1,248.67
Skyline Suites,St. Louis,MO,STL,20.6,CPS,37.7,BLV,42.8,260.05
Skyline Suites,St. Louis,MO,STL,49.3,CPS,28.8,BLV,16.5,155.31
Golden Gate Hotel,Los Angeles,CA,LAX,47.9,BUR,29.2,LGB,16.8,184.87
Crystal Waters Hotel,Seattle,WA,SEA,15.2,PAE,37.5,BFI,46.7,169.49
Sapphire Hotel,New York,NY,JFK,33.6,LGA,35.6,EWR,10.5,263.99
Bay Area Hotel,Miami,FL,MIA,26.3,FLL,37.2,PBI,49.9,293.24
Riverfront Hotel,Los Angeles,CA,LAX,2.6,BUR,28.6,LGB,38.6,171.13
Garden Court Hotel,Los Angeles,CA,LAX,44.1,BUR,30.1,LGB,26.9,225.53
Capitol Stay,Los Angeles,CA,LAX,44.4,BUR,41.5,LGB,48.6,116.08
Coastal Breeze Hotel,Miami,FL,MIA,47.2,FLL,30.1,PBI,12.2,267.35
Central Park Inn,Atlanta,GA,ATL,1.1,PBI,26.9,BHM,42.3,253.23
Crystal Waters Hotel,Los Angeles,CA,LAX,14.3,BUR,1.7,LGB,31.3,206.81
Crystal Waters Hotel,San Francisco,CA,SFO,37.0,OAK,22.3,SJC,32.2,264.22
Bay Area Hotel,Los Angeles,CA,LAX,5.5,BUR,5.9,LGB,36.0,205.26
Maple Leaf Lodge,Seattle,WA,SEA,24.6,PAE,41.0,BFI,40.1,114.07
Pine Tree Inn,St. Louis,MO,STL,44.4,CPS,22.0,BLV,4.8,141.98
Ocean View Hotel,St. Louis,MO,STL,45.9,CPS,1.0,BLV,47.3,132.48
Pine Tree Inn,St. Louis,MO,STL,14.6,CPS,8.2,BLV,36.8,229.77
Riverfront Hotel,San Francisco,CA,SFO,13.1,OAK,30.6,SJC,13.7,286.85
Maple Leaf Lodge,Washington,DC,DCA,23.6,IAD,1.8,BWI,7.9,115.43
Golden Gate Hotel,Phoenix,AZ,PHX,33.1,AZA,41.1,SDL,44.1,122.6
Pine Tree Inn,Chicago,IL,ORD,12.4,MDW,44.1,RFD,1.7,181.43
City Center Lodge,St. Louis,MO,STL,42.3,CPS,38.6,BLV,21.7,277.0
Harbor View Hotel,St. Louis,MO,STL,43.2,CPS,38.7,BLV,24.1,126.65
Ocean View Hotel,San Francisco,CA,SFO,19.9,OAK,46.9,SJC,49.6,171.7
Mountain Peak Lodge,Chicago,IL,ORD,32.5,MDW,47.9,RFD,6.0,255.27
Metro Inn,St. Louis,MO,STL,1.6,CPS,9.4,BLV,7.3,285.57
Crystal Waters Hotel,Phoenix,AZ,PHX,42.0,AZA,0.6,SDL,4.1,212.97
City Center Lodge,Phoenix,AZ,PHX,15.5,AZA,1.7,SDL,14.2,132.9
Metro Inn,Atlanta,GA,ATL,11.5,PBI,6.3,BHM,37.0,193.83
Broadway Hotel,Phoenix,AZ,PHX,40.2,AZA,40.3,SDL,47.8,101.61
Grand Plaza,Phoenix,AZ,PHX,18.9,AZA,20.3,SDL,12.5,261.76
Central Park Inn,New York,NY,JFK,41.6,LGA,17.6,EWR,48.2,181.99
Pine Tree Inn,St. Louis,MO,STL,39.9,CPS,38.5,BLV,32.8,278.72
Garden Court Hotel,San Francisco,CA,SFO,35.4,OAK,38.3,SJC,4.4,271.63
Lakeside Inn,Atlanta,GA,ATL,8.3,PBI,2.7,BHM,44.7,284.84
Central Park Inn,Miami,FL,MIA,45.5,FLL,14.5,PBI,28.9,222.01
Sapphire Hotel,Chicago,IL,ORD,5.5,MDW,12.2,RFD,11.8,213.75
Central Park Inn,New York,NY,JFK,38.0,LGA,6.2,EWR,4.5,116.47
Capitol Stay,Miami,FL,MIA,14.0,FLL,14.3,PBI,25.0,265.61
Riverfront Hotel,St. Louis,MO,STL,20.8,CPS,5.5,BLV,6.4,280.94
Mountain Peak Lodge,New York,NY,JFK,1.7,LGA,48.1,EWR,2.7,148.75
Broadway Hotel,St. Louis,MO,STL,17.2,CPS,15.1,BLV,30.8,242.02
Bay Area Hotel,Seattle,WA,SEA,8.5,PAE,42.7,BFI,8.4,183.35
Metro Inn,Miami,FL,MIA,30.7,FLL,47.6,PBI,8.5,203.55
Desert Resort,Phoenix,AZ,PHX,49.2,AZA,11.7,SDL,36.2,263.61
Harbor View Hotel,Atlanta,GA,ATL,31.9,PBI,48.9,BHM,14.7,237.94
Sunset Inn,Seattle,WA,SEA,24.9,PAE,6.8,BFI,35.5,280.47
Broadway Hotel,Chicago,IL,ORD,8.2,MDW,37.8,RFD,12.4,165.18
Urban Retreat,Atlanta,GA,ATL,31.6,PBI,46.2,BHM,7.3,290.63
Palm Grove Hotel,Washington,DC,DCA,32.8,IAD,11.3,BWI,19.2,249.56
Sapphire Hotel,Miami,FL,MIA,10.0,FLL,16.6,PBI,36.5,102.17
Coastal Breeze Hotel,San Francisco,CA,SFO,2.0,OAK,46.8,SJC,35.0,115.27
Harbor View Hotel,Los Angeles,CA,LAX,27.8,BUR,29.5,LGB,29.8,271.45
Riverfront Hotel,San Francisco,CA,SFO,27.3,OAK,48.0,SJC,9.6,175.98
Garden Court Hotel,Washington,DC,DCA,16.5,IAD,22.4,BWI,18.4,275.92
Garden Court Hotel,Phoenix,AZ,PHX,0.9,AZA,34.6,SDL,30.8,170.67
Golden Gate Hotel,San Francisco,CA,SFO,22.7,OAK,13.4,SJC,17.1,137.45
Maple Leaf Lodge,New York,NY,JFK,47.0,LGA,6.6,EWR,26.1,276.6
Central Park Inn,Washington,DC,DCA,31.8,IAD,6.0,BWI,23.8,225.78
Central Park Inn,New York,NY,JFK,41.9,LGA,10.9,EWR,34.5,211.6
Sunset Inn,St. Louis,MO,STL,5.5,CPS,25.7,BLV,48.9,131.44
Sapphire Hotel,Phoenix,AZ,PHX,46.7,AZA,48.8,SDL,28.6,191.61
Coastal Breeze Hotel,Miami,FL,MIA,2.2,FLL,14.2,PBI,27.7,223.63
Metro Inn,Washington,DC,DCA,19.8,IAD,41.3,BWI,45.9,227.76
Ocean View Hotel,Los Angeles,CA,LAX,43.3,BUR,12.5,LGB,31.3,229.4
Pine Tree Inn,Miami,FL,MIA,49.8,FLL,30.0,PBI,7.2,165.78
Emerald Isle Hotel,Chicago,IL,ORD,4.7,MDW,16.2,RFD,38.4,181.97
Ocean View Hotel,New York,NY,JFK,43.8,LGA,35.2,EWR,23.7,138.95
Central Park Inn,Chicago,IL,ORD,13.4,MDW,40.0,RFD,1.6,250.08
Golden Gate Hotel,Phoenix,AZ,PHX,48.2,AZA,18.5,SDL,27.7,127.9
Garden Court Hotel,Chicago,IL,ORD,21.3,MDW,24.0,RFD,20.1,174.09
Sapphire Hotel,St. Louis,MO,STL,23.7,CPS,35.3,BLV,1.8,217.94
Metro Inn,San Francisco,CA,SFO,21.4,OAK,15.6,SJC,42.3,123.53
Crystal Waters Hotel,San Francisco,CA,SFO,44.8,OAK,8.8,SJC,48.0,114.66
Maple Leaf Lodge,Washington,DC,DCA,40.9,IAD,22.1,BWI,9.8,128.47
Bay Area Hotel,Miami,FL,MIA,24.8,FLL,32.6,PBI,35.4,107.99
Riverfront Hotel,New York,NY,JFK,2.2,LGA,37.6,EWR,44.6,236.84
Sapphire Hotel,San Francisco,CA,SFO,17.1,OAK,31.9,SJC,35.2,290.36
Pine Tree Inn,St. Louis,MO,STL,33.8,CPS,29.5,BLV,24.7,154.57
Lakeside Inn,Phoenix,AZ,PHX,48.3,AZA,39.1,SDL,29.4,283.77
Golden Gate Hotel,Seattle,WA,SEA,15.9,PAE,36.3,BFI,15.4,211.61
Garden Court Hotel,Miami,FL,MIA,31.4,FLL,18.8,PBI,30.3,206.07
Mountain Peak Lodge,New York,NY,JFK,26.9,LGA,45.3,EWR,17.9,285.79
Harbor View Hotel,Atlanta,GA,ATL,29.4,PBI,33.9,BHM,48.5,214.69
Central Park Inn,Phoenix,AZ,PHX,14.2,AZA,48.0,SDL,27.8,192.52
Golden Gate Hotel,Seattle,WA,SEA,45.4,PAE,8.7,BFI,5.1,133.24
Sapphire Hotel,Phoenix,AZ,PHX,19.5,AZA,12.8,SDL,39.3,261.75
City Center Lodge,Atlanta,GA,ATL,43.1,PBI,39.7,BHM,50.0,269.78
Capitol Stay,Phoenix,AZ,PHX,3.0,AZA,18.6,SDL,25.7,121.75
Sunset Inn,Atlanta,GA,ATL,38.9,PBI,33.8,BHM,44.9,123.07
Emerald Isle Hotel,Seattle,WA,SEA,2.1,PAE,28.2,BFI,10.1,214.82
Capitol Stay,Miami,FL,MIA,5.9,FLL,9.8,PBI,7.0,229.46
Grand Plaza,Phoenix,AZ,PHX,1.1,AZA,3.3,SDL,21.5,122.75
Metro Inn,St. Louis,MO,STL,47.4,CPS,21.5,BLV,9.6,126.33
Palm Grove Hotel,Atlanta,GA,ATL,8.3,PBI,41.6,BHM,14.6,118.69
Coastal Breeze Hotel,Chicago,IL,ORD,38.3,MDW,31.3,RFD,24.8,234.7
Sapphire Hotel,San Francisco,CA,SFO,38.3,OAK,38.9,SJC,41.0,284.84
Ocean View Hotel,Phoenix,AZ,PHX,19.3,AZA,38.9,SDL,33.4,175.14
Grand Plaza,Seattle,WA,SEA,40.7,PAE,26.4,BFI,29.5,135.98
Maple Leaf Lodge,Miami,FL,MIA,49.9,FLL,25.0,PBI,18.6,198.52
Harbor View Hotel,Phoenix,AZ,PHX,20.0,AZA,11.4,SDL,11.4,277.11
Sapphire Hotel,San Francisco,CA,SFO,47.9,OAK,40.6,SJC,12.2,122.68
Pine Tree Inn,Washington,DC,DCA,30.7,IAD,28.4,BWI,43.5,246.21
Bay Area Hotel,Washington,DC,DCA,11.5,IAD,38.3,BWI,46.7,252.6
Bay Area Hotel,New York,NY,JFK,8.9,LGA,0.9,EWR,7.1,281.38
Central Park Inn,Phoenix,AZ,PHX,23.9,AZA,9.8,SDL,16.3,226.7
Crystal Waters Hotel,Atlanta,GA,ATL,19.0,PBI,23.1,BHM,24.3,101.57
Central Park Inn,Atlanta,GA,ATL,2.8,PBI,49.1,BHM,20.6,108.9
Sapphire Hotel,Atlanta,GA,ATL,10.1,PBI,4.1,BHM,2.5,233.1
Urban Retreat,Los Angeles,CA,LAX,9.9,BUR,30.0,LGB,45.8,206.78
Maple Leaf Lodge,Phoenix,AZ,PHX,3.3,AZA,49.1,SDL,2.3,114.04
Ocean View Hotel,Phoenix,AZ,PHX,35.9,AZA,45.5,SDL,5.7,135.95
Sapphire Hotel,St. Louis,MO,STL,18.9,CPS,3.4,BLV,29.8,277.92
Sunset Inn,Chicago,IL,ORD,8.9,MDW,3.2,RFD,16.5,164.81
Mountain Peak Lodge,St. Louis,MO,STL,27.2,CPS,13.8,BLV,39.0,286.7
Emerald Isle Hotel,Chicago,IL,ORD,27.9,MDW,36.0,RFD,40.7,218.02
Sunset Inn,Atlanta,GA,ATL,29.3,PBI,8.6,BHM,35.9,224.02
Garden Court Hotel,Los Angeles,CA,LAX,9.3,BUR,29.1,LGB,24.9,183.09
Riverfront Hotel,Chicago,IL,ORD,28.8,MDW,6.0,RFD,41.0,215.37
Mountain Peak Lodge,Los Angeles,CA,LAX,36.8,BUR,26.4,LGB,48.0,288.22
Central Park Inn,Chicago,IL,ORD,39.2,MDW,25.2,RFD,10.7,217.08
Emerald Isle Hotel,Miami,FL,MIA,40.7,FLL,31.7,PBI,17.2,173.0
Skyline Suites,Atlanta,GA,ATL,6.4,PBI,4.7,BHM,21.8,126.3
Broadway Hotel,San Francisco,CA,SFO,35.1,OAK,1.7,SJC,49.1,239.65
Harbor View Hotel,Miami,FL,MIA,0.8,FLL,3.9,PBI,44.2,228.5
Pine Tree Inn,Seattle,WA,SEA,23.4,PAE,22.1,BFI,13.1,246.78
Urban Retreat,Phoenix,AZ,PHX,4.2,AZA,6.6,SDL,46.2,171.08
Harbor View Hotel,St. Louis,MO,STL,30.8,CPS,0.6,BLV,2.2,165.62
Garden Court Hotel,Phoenix,AZ,PHX,5.5,AZA,11.4,SDL,7.7,157.56
Bay Area Hotel,Atlanta,GA,ATL,33.8,PBI,27.1,BHM,41.0,232.44
Capitol Stay,Seattle,WA,SEA,27.7,PAE,42.9,BFI,44.7,171.37
Golden Gate Hotel,St. Louis,MO,STL,47.4,CPS,2.8,BLV,46.4,143.89
Golden Gate Hotel,Atlanta,GA,ATL,35.1,PBI,41.2,BHM,31.7,157.78
Golden Gate Hotel,Miami,FL,MIA,13.9,FLL,6.3,PBI,31.5,113.34
Metro Inn,Chicago,IL,ORD,20.5,MDW,18.1,RFD,11.7,248.62
Riverfront Hotel,Atlanta,GA,ATL,37.4,PBI,2.0,BHM,18.1,299.34
Desert Resort,Washington,DC,DCA,25.2,IAD,33.2,BWI,8.4,228.21
Coastal Breeze Hotel,Phoenix,AZ,PHX,47.0,AZA,30.1,SDL,45.0,162.65
Desert Resort,Phoenix,AZ,PHX,11.4,AZA,42.6,SDL,16.1,208.02
Riverfront Hotel,St. Louis,MO,STL,5.1,CPS,7.6,BLV,4.2,156.25
Palm Grove Hotel,Washington,DC,DCA,32.7,IAD,13.8,BWI,31.2,199.83
Maple Leaf Lodge,Seattle,WA,SEA,41.9,PAE,1.4,BFI,35.3,257.87
Maple Leaf Lodge,Washington,DC,DCA,21.7,IAD,48.1,BWI,0.6,105.29
Sapphire Hotel,Chicago,IL,ORD,13.7,MDW,0.7,RFD,18.7,251.7
Capitol Stay,Atlanta,GA,ATL,37.1,PBI,49.4,BHM,35.3,166.16
Coastal Breeze Hotel,Miami,FL,MIA,43.3,FLL,39.1,PBI,49.7,293.77
Skyline Suites,Chicago,IL,ORD,26.3,MDW,48.1,RFD,19.2,119.48
Maple Leaf Lodge,Seattle,WA,SEA,23.8,PAE,31.5,BFI,24.7,279.44
Emerald Isle Hotel,St. Louis,MO,STL,44.8,CPS,31.6,BLV,46.8,158.21
Lakeside Inn,San Francisco,CA,SFO,13.5,OAK,14.4,SJC,5.2,225.26
Urban Retreat,Washington,DC,DCA,47.6,IAD,5.1,BWI,33.0,294.51
Harbor View Hotel,St. Louis,MO,STL,34.2,CPS,2.3,BLV,49.5,240.21
Broadway Hotel,San Francisco,CA,SFO,23.8,OAK,23.8,SJC,9.7,272.13
Bay Area Hotel,Miami,FL,MIA,34.4,FLL,9.3,PBI,4.9,149.32
Pine Tree Inn,Washington,DC,DCA,33.6,IAD,22.6,BWI,29.9,103.16
Lakeside Inn,Miami,FL,MIA,16.8,FLL,17.0,PBI,37.9,153.66
Broadway Hotel,Washington,DC,DCA,5.2,IAD,40.1,BWI,41.0,254.95
Lakeside Inn,Miami,FL,MIA,0.9,FLL,45.4,PBI,34.8,265.52
Maple Leaf Lodge,Chicago,IL,ORD,19.9,MDW,21.6,RFD,32.0,205.12
Sapphire Hotel,St. Louis,MO,STL,46.9,CPS,14.1,BLV,31.4,288.36
Central Park Inn,Seattle,WA,SEA,15.7,PAE,47.2,BFI,30.5,206.94
Sunset Inn,San Francisco,CA,SFO,3.5,OAK,13.7,SJC,23.3,113.21
Garden Court Hotel,Chicago,IL,ORD,14.3,MDW,33.0,RFD,43.1,226.22
Harbor View Hotel,Phoenix,AZ,PHX,36.1,AZA,33.1,SDL,6.3,261.09
Pine Tree Inn,Atlanta,GA,ATL,7.6,PBI,5.5,BHM,36.6,100.23
City Center Lodge,St. Louis,MO,STL,3.6,CPS,14.0,BLV,8.1,296.7
Golden Gate Hotel,Atlanta,GA,ATL,48.4,PBI,31.2,BHM,5.1,279.23
Golden Gate Hotel,Chicago,IL,ORD,20.9,MDW,41.2,RFD,46.3,255.57
Lakeside Inn,New York,NY,JFK,42.0,LGA,36.7,EWR,12.0,240.42
Harbor View Hotel,Atlanta,GA,ATL,28.8,PBI,32.9,BHM,31.6,239.08
Maple Leaf Lodge,Los Angeles,CA,LAX,15.5,BUR,6.4,LGB,19.2,166.57
Pine Tree Inn,Washington,DC,DCA,39.5,IAD,6.1,BWI,28.6,209.44
Crystal Waters Hotel,Miami,FL,MIA,28.2,FLL,2.3,PBI,36.8,123.81
Riverfront Hotel,St. Louis,MO,STL,47.8,CPS,7.3,BLV,49.2,223.94
Desert Resort,Los Angeles,CA,LAX,43.2,BUR,46.2,LGB,43.7,103.79
Riverfront Hotel,San Francisco,CA,SFO,41.0,OAK,2.1,SJC,28.6,264.17
Maple Leaf Lodge,Atlanta,GA,ATL,10.4,PBI,46.3,BHM,4.6,272.44
Garden Court Hotel,Washington,DC,DCA,39.1,IAD,49.0,BWI,7.7,159.27
Ocean View Hotel,St. Louis,MO,STL,26.1,CPS,25.5,BLV,29.1,141.61
Urban Retreat,Miami,FL,MIA,28.6,FLL,15.6,PBI,45.8,185.82
Mountain Peak Lodge,Washington,DC,DCA,43.6,IAD,17.8,BWI,38.7,123.8
Mountain Peak Lodge,New York,NY,JFK,12.4,LGA,43.8,EWR,36.6,150.82
Crystal Waters Hotel,St. Louis,MO,STL,49.9,CPS,4.5,BLV,30.0,152.76
Golden Gate Hotel,Atlanta,GA,ATL,33.9,PBI,25.8,BHM,31.1,236.92
Harbor View Hotel,Los Angeles,CA,LAX,37.3,BUR,47.0,LGB,40.4,192.42
Pine Tree Inn,Phoenix,AZ,PHX,33.0,AZA,43.9,SDL,14.8,107.59
Metro Inn,Seattle,WA,SEA,38.9,PAE,36.9,BFI,20.4,188.98
Riverfront Hotel,Phoenix,AZ,PHX,34.2,AZA,44.0,SDL,38.2,104.44
Mountain Peak Lodge,San Francisco,CA,SFO,5.6,OAK,14.4,SJC,48.1,168.25
Urban Retreat,Los Angeles,CA,LAX,40.7,BUR,45.5,LGB,26.6,229.31
Pine Tree Inn,Los Angeles,CA,LAX,20.5,BUR,6.9,LGB,46.3,257.31
Harbor View Hotel,New York,NY,JFK,4.3,LGA,45.5,EWR,22.0,212.51
Skyline Suites,Los Angeles,CA,LAX,49.6,BUR,1.0,LGB,40.2,100.5
Crystal Waters Hotel,New York,NY,JFK,29.3,LGA,10.5,EWR,49.5,127.76
Mountain Peak Lodge,Atlanta,GA,ATL,2.7,PBI,13.5,BHM,37.5,208.63
Mountain Peak Lodge,Atlanta,GA,ATL,49.3,PBI,9.7,BHM,50.0,158.45
Emerald Isle Hotel,Phoenix,AZ,PHX,31.2,AZA,11.1,SDL,8.3,176.64
Pine Tree Inn,Miami,FL,MIA,41.0,FLL,15.3,PBI,15.5,142.34
City Center Lodge,Atlanta,GA,ATL,2.3,PBI,12.4,BHM,38.0,246.98
Palm Grove Hotel,San Francisco,CA,SFO,20.2,OAK,31.8,SJC,41.7,299.33
Emerald Isle Hotel,New York,NY,JFK,12.9,LGA,21.6,EWR,3.8,225.71
Grand Plaza,St. Louis,MO,STL,40.5,CPS,46.1,BLV,5.0,110.51
Harbor View Hotel,Atlanta,GA,ATL,32.7,PBI,21.1,BHM,8.4,253.29
Desert Resort,Miami,FL,MIA,15.2,FLL,13.0,PBI,47.6,249.26
Crystal Waters Hotel,Seattle,WA,SEA,47.0,PAE,36.6,BFI,39.1,241.15
Ocean View Hotel,New York,NY,JFK,44.2,LGA,30.4,EWR,2.3,232.41
Pine Tree Inn,Chicago,IL,ORD,6.9,MDW,35.4,RFD,45.4,256.7
Urban Retreat,Atlanta,GA,ATL,25.8,PBI,46.4,BHM,3.7,277.79
Skyline Suites,New York,NY,JFK,27.4,LGA,11.5,EWR,42.9,252.58
Harbor View Hotel,St. Louis,MO,STL,6.1,CPS,2.3,BLV,35.7,121.98
City Center Lodge,New York,NY,JFK,35.7,LGA,1.1,EWR,45.0,193.55
Crystal Waters Hotel,Seattle,WA,SEA,27.8,PAE,4.3,BFI,46.4,113.68
Ocean View Hotel,Chicago,IL,ORD,18.6,MDW,2.9,RFD,37.0,127.13
Central Park Inn,Atlanta,GA,ATL,24.3,PBI,42.8,BHM,27.4,287.0
Maple Leaf Lodge,St. Louis,MO,STL,44.3,CPS,43.1,BLV,18.9,127.59
Maple Leaf Lodge,St. Louis,MO,STL,42.5,CPS,20.9,BLV,44.2,242.3
Riverfront Hotel,Miami,FL,MIA,41.3,FLL,6.4,PBI,5.7,200.28
Crystal Waters Hotel,Chicago,IL,ORD,43.3,MDW,27.6,RFD,40.0,178.21
Crystal Waters Hotel,Washington,DC,DCA,2.1,IAD,3.2,BWI,30.0,164.91
Ocean View Hotel,Seattle,WA,SEA,17.6,PAE,33.2,BFI,22.4,288.21
Sunset Inn,Chicago,IL,ORD,35.9,MDW,40.9,RFD,8.5,166.91
Skyline Suites,Chicago,IL,ORD,17.6,MDW,11.6,RFD,34.2,244.21
Metro Inn,Washington,DC,DCA,11.9,IAD,41.7,BWI,20.8,154.02
Urban Retreat,Los Angeles,CA,LAX,1.7,BUR,24.3,LGB,28.0,171.11
Desert Resort,Phoenix,AZ,PHX,47.6,AZA,37.3,SDL,9.7,174.1
Desert Resort,San Francisco,CA,SFO,36.8,OAK,35.4,SJC,36.3,251.53
Sunset Inn,Washington,DC,DCA,19.6,IAD,12.3,BWI,1.5,115.86
Mountain Peak Lodge,New York,NY,JFK,39.9,LGA,31.5,EWR,30.8,138.47
Crystal Waters Hotel,Los Angeles,CA,LAX,37.8,BUR,43.2,LGB,4.8,247.91
Skyline Suites,San Francisco,CA,SFO,15.2,OAK,32.0,SJC,34.0,143.91
Harbor View Hotel,Seattle,WA,SEA,41.9,PAE,17.9,BFI,32.4,127.61
Harbor View Hotel,San Francisco,CA,SFO,49.9,OAK,27.2,SJC,36.2,116.72
Broadway Hotel,Miami,FL,MIA,31.9,FLL,33.9,PBI,19.0,277.17
Emerald Isle Hotel,New York,NY,JFK,12.6,LGA,14.0,EWR,46.6,137.76
Central Park Inn,Miami,FL,MIA,23.1,FLL,23.8,PBI,1.0,115.06
Grand Plaza,St. Louis,MO,STL,20.6,CPS,46.4,BLV,20.0,263.5
Sunset Inn,Seattle,WA,SEA,37.1,PAE,32.4,BFI,43.2,298.61
Skyline Suites,New York,NY,JFK,7.9,LGA,30.9,EWR,39.5,149.49
Bay Area Hotel,St. Louis,MO,STL,24.5,CPS,7.5,BLV,25.4,109.37
Broadway Hotel,Seattle,WA,SEA,15.3,PAE,49.6,BFI,41.6,114.42
Garden Court Hotel,New York,NY,JFK,14.9,LGA,40.2,EWR,35.3,102.07
Palm Grove Hotel,Phoenix,AZ,PHX,3.8,AZA,23.0,SDL,38.6,162.96
Palm Grove Hotel,Seattle,WA,SEA,26.7,PAE,20.8,BFI,1.7,125.94
Riverfront Hotel,Washington,DC,DCA,38.5,IAD,31.1,BWI,4.2,161.2
Riverfront Hotel,San Francisco,CA,SFO,33.1,OAK,18.9,SJC,0.9,135.06
Coastal Breeze Hotel,Washington,DC,DCA,24.1,IAD,39.6,BWI,38.2,223.83
Broadway Hotel,Los Angeles,CA,LAX,36.2,BUR,35.7,LGB,31.6,214.04
Mountain Peak Lodge,San Francisco,CA,SFO,13.3,OAK,28.2,SJC,16.4,191.06
Riverfront Hotel,San Francisco,CA,SFO,4.4,OAK,38.3,SJC,23.5,202.47
Sapphire Hotel,Chicago,IL,ORD,10.2,MDW,7.2,RFD,48.3,135.26
Garden Court Hotel,Phoenix,AZ,PHX,24.7,AZA,28.3,SDL,39.6,126.11
Bay Area Hotel,Phoenix,AZ,PHX,22.8,AZA,28.5,SDL,31.1,231.32
Desert Resort,Chicago,IL,ORD,9.0,MDW,40.5,RFD,31.2,163.04
Garden Court Hotel,New York,NY,JFK,2.2,LGA,43.6,EWR,19.5,129.91
City Center Lodge,New York,NY,JFK,14.9,LGA,6.0,EWR,19.6,217.77
Sunset Inn,Washington,DC,DCA,20.4,IAD,9.7,BWI,37.3,296.33
Bay Area Hotel,Seattle,WA,SEA,1.4,PAE,42.1,BFI,38.8,144.19
Sunset Inn,Chicago,IL,ORD,45.5,MDW,11.3,RFD,10.1,290.41
Crystal Waters Hotel,Chicago,IL,ORD,11.3,MDW,36.1,RFD,14.2,215.55
Sapphire Hotel,New York,NY,JFK,41.6,LGA,31.2,EWR,3.9,175.21
Golden Gate Hotel,St. Louis,MO,STL,13.7,CPS,42.8,BLV,29.5,159.36
Bay Area Hotel,San Francisco,CA,SFO,15.8,OAK,36.5,SJC,13.2,163.68
Golden Gate Hotel,Los Angeles,CA,LAX,25.7,BUR,41.6,LGB,21.6,174.91
Pine Tree Inn,Seattle,WA,SEA,48.0,PAE,10.3,BFI,34.7,213.24
Lakeside Inn,Atlanta,GA,ATL,20.9,PBI,41.3,BHM,2.9,103.5
Pine Tree Inn,New York,NY,JFK,35.7,LGA,0.8,EWR,48.4,223.02
Maple Leaf Lodge,Phoenix,AZ,PHX,17.9,AZA,42.3,SDL,44.0,133.06
Mountain Peak Lodge,Miami,FL,MIA,24.2,FLL,21.9,PBI,23.5,264.62
Urban Retreat,Phoenix,AZ,PHX,44.7,AZA,45.3,SDL,24.1,200.52
Maple Leaf Lodge,New York,NY,JFK,17.8,LGA,1.6,EWR,35.3,170.64
Lakeside Inn,Los Angeles,CA,LAX,14.6,BUR,11.0,LGB,17.4,130.7
Desert Resort,San Francisco,CA,SFO,10.8,OAK,44.3,SJC,7.5,192.35
Ocean View Hotel,St. Louis,MO,STL,5.4,CPS,17.7,BLV,46.2,217.73
Skyline Suites,Los Angeles,CA,LAX,9.7,BUR,3.0,LGB,10.5,156.78
Golden Gate Hotel,New York,NY,JFK,48.0,LGA,21.2,EWR,35.7,168.76
Harbor View Hotel,New York,NY,JFK,35.2,LGA,40.0,EWR,44.4,251.23
Golden Gate Hotel,San Francisco,CA,SFO,18.1,OAK,24.0,SJC,26.8,100.61
Desert Resort,San Francisco,CA,SFO,40.5,OAK,19.7,SJC,25.2,253.69
Urban Retreat,Phoenix,AZ,PHX,32.0,AZA,26.9,SDL,3.9,106.04
Broadway Hotel,San Francisco,CA,SFO,7.5,OAK,7.7,SJC,1.8,158.34
Ocean View Hotel,Seattle,WA,SEA,17.5,PAE,45.6,BFI,39.1,201.85
Harbor View Hotel,San Francisco,CA,SFO,4.2,OAK,38.2,SJC,26.8,147.96
Metro Inn,Miami,FL,MIA,10.2,FLL,21.1,PBI,40.1,135.15
Lakeside Inn,Phoenix,AZ,PHX,27.1,AZA,14.4,SDL,0.8,256.24
Ocean View Hotel,Atlanta,GA,ATL,38.4,PBI,14.8,BHM,42.6,241.28
Central Park Inn,Los Angeles,CA,LAX,5.1,BUR,37.2,LGB,14.0,139.04
Bay Area Hotel,Miami,FL,MIA,18.9,FLL,16.4,PBI,34.8,280.23
Golden Gate Hotel,Seattle,WA,SEA,44.9,PAE,11.5,BFI,22.8,131.01
Desert Resort,Chicago,IL,ORD,36.5,MDW,34.3,RFD,46.4,223.03
