Hotel Name,City,State,Nearest Airport 1,Distance to Airport 1 (miles),Nearest Airport 2,Distance to Airport 2 (miles),Nearest Airport 3,Distance to Airport 3 (miles),Average Price per Night (USD),Cab Service Name,Hospital Name,Nearest Airport 1,Distance to Airport 1 (miles),Nearest Airport 2,Distance to Airport 2 (miles),Nearest Airport 3,Distance to Airport 3 (miles)
Sapphire Hotel,San Francisco,CA,SFO,17.1,OAK,31.9,SJC,35.2,290.36,Golden Cab,Central Clinic,LAX,37.3,BUR,19.3,LGB,40.3
Riverfront Hotel,San Francisco,CA,SFO,33.1,OAK,18.9,SJC,0.9,135.06,Rapid Cab,West End Hospital,LAX,4.4,BUR,17.6,LGB,1.5
Harbor View Hotel,San Francisco,CA,SFO,4.1,OAK,48.2,SJC,48.5,271.45,Liberty Taxi,Central Clinic,LAX,27.8,BUR,22.4,LGB,23.1
Mountain Peak Lodge,Los Angeles,CA,LAX,4.6,BUR,40,LGB,34.2,143.51,First Choice Taxi,Pine Valley Hospital,SFO,1.9,OAK,20.6,SJC,41
Central Park Inn,San Francisco,CA,SFO,1.7,OAK,14.1,SJC,49.9,296.01,Express Cab,Regional Medical Center,LAX,32,BUR,49,LGB,38.3
Ocean View Hotel,San Francisco,CA,SFO,16.2,OAK,2.7,SJC,24.9,142.59,Rapid Cab,General Hospital,SFO,6.2,OAK,21.1,SJC,1.1
Harbor View Hotel,Los Angeles,CA,LAX,25.2,BUR,30.9,LGB,9.5,271.74,Green Cab,Central Clinic,LAX,11.9,BUR,44,LGB,36.4
Urban Retreat,Los Angeles,CA,LAX,28.6,BUR,19.8,LGB,33.9,283.43,Rapid Cab,City Medical Center,LAX,42.5,BUR,33.4,LGB,31.6
Sapphire Hotel,San Francisco,CA,SFO,38.3,OAK,38.9,SJC,41,284.84,Quick Ride,Riverfront Medical Center,SFO,40.2,OAK,13.9,SJC,21.4
Bay Area Hotel,San Francisco,CA,SFO,4.8,OAK,49.2,SJC,2.6,188.85,Sunshine Taxi,City Health Clinic,SFO,22.8,OAK,20.3,SJC,40.8
Sunset Inn,San Francisco,CA,SFO,16.8,OAK,28.6,SJC,24.9,215.45,Premier Rides,City Health Clinic,SFO,30.9,OAK,38.6,SJC,31.2
Harbor View Hotel,San Francisco,CA,SFO,25.5,OAK,13,SJC,34,259.59,Liberty Taxi,Riverfront Medical Center,LAX,20.5,BUR,8.9,LGB,7.8
Capitol Stay,Los Angeles,CA,LAX,29.6,BUR,45.5,LGB,39.1,135.37,Urban Cabs,Green Valley Hospital,SFO,20.6,OAK,3.9,SJC,28.5
Desert Resort,San Francisco,CA,SFO,14,OAK,31.7,SJC,32.5,189.12,Best Taxi,Valley Health Center,LAX,21.4,BUR,15.6,LGB,26.4
Crystal Waters Hotel,San Francisco,CA,SFO,12.6,OAK,7,SJC,3.2,230.62,Star Taxi,Mountain View Hospital,LAX,22.7,BUR,11,LGB,36.1
Ocean View Hotel,San Francisco,CA,SFO,45.8,OAK,5.4,SJC,21,185.96,Metro Taxi,Central Clinic,LAX,23,BUR,38.4,LGB,20.9
Garden Court Hotel,San Francisco,CA,SFO,42.1,OAK,19,SJC,27.7,182.23,Eagle Taxi,Valley Health Center,SFO,25.3,OAK,16.4,SJC,21.7
Broadway Hotel,Los Angeles,CA,LAX,3.4,BUR,33.6,LGB,32.3,179.24,Yellow Cab,Central Clinic,LAX,4.1,BUR,10.3,LGB,41.6
Broadway Hotel,Los Angeles,CA,LAX,26,BUR,46.3,LGB,32.3,295.58,Alpha Cab,Harbor Hospital,LAX,13.5,BUR,11.1,LGB,46.6
Ocean View Hotel,San Francisco,CA,SFO,32.1,OAK,49.9,SJC,40.4,136.38,Green Cab,Pine Valley Hospital,LAX,3.8,BUR,27.2,LGB,47.6
Capitol Stay,San Francisco,CA,SFO,41.3,OAK,49.2,SJC,11.3,116.83,Alpha Cab,Sunrise Hospital,LAX,38.5,BUR,31.1,LGB,22.9
Lakeside Inn,San Francisco,CA,SFO,42.8,OAK,17.7,SJC,13.5,280.64,Golden Cab,Coastal Health Center,SFO,35.4,OAK,37.1,SJC,34.1
Coastal Breeze Hotel,Los Angeles,CA,LAX,13.3,BUR,17.4,LGB,41.6,243.94,Quick Ride,General Hospital,LAX,13,BUR,43.2,LGB,34
Coastal Breeze Hotel,San Francisco,CA,SFO,43.9,OAK,11.4,SJC,32.3,126.18,City Cab,St. Mary's Hospital,LAX,28.7,BUR,35.1,LGB,47.7
Skyline Suites,Los Angeles,CA,LAX,32.9,BUR,25.3,LGB,1.3,289,Rapid Cab,Valley Health Center,LAX,19.8,BUR,41.7,LGB,23.4
Ocean View Hotel,Los Angeles,CA,LAX,39,BUR,40.8,LGB,39.2,176.68,Golden Cab,Eastside Medical Center,LAX,32.9,BUR,41.9,LGB,13.1
Sapphire Hotel,San Francisco,CA,SFO,37.8,OAK,7.5,SJC,30.9,166.6,Star Taxi,City Medical Center,LAX,42.9,BUR,2.5,LGB,27.8
Garden Court Hotel,San Francisco,CA,SFO,37.2,OAK,48.6,SJC,22.9,163.44,Quick Ride,Downtown Medical Center,SFO,32.5,OAK,4.6,SJC,45.9
Garden Court Hotel,San Francisco,CA,SFO,35.1,OAK,19.9,SJC,37.9,125.54,Royal Cab,Northside Hospital,SFO,49.7,OAK,35.3,SJC,27.9
Maple Leaf Lodge,Los Angeles,CA,LAX,7.3,BUR,23.2,LGB,48.7,125.7,Reliable Rides,City Medical Center,LAX,5.4,BUR,5.5,LGB,46.3
Metro Inn,San Francisco,CA,SFO,47,OAK,27.2,SJC,43.6,231.53,Town Car Service,Lakeside Medical Center,LAX,46.7,BUR,21.1,LGB,26.3
Sapphire Hotel,Los Angeles,CA,LAX,10.4,BUR,27.2,LGB,28.1,240.04,Metro Taxi,Northeast Medical Center,SFO,5.6,OAK,34.7,SJC,45.5
Emerald Isle Hotel,San Francisco,CA,SFO,35.8,OAK,44.8,SJC,15.1,117.45,Reliable Rides,Central Clinic,LAX,18.3,BUR,21.3,LGB,14.5
Sunset Inn,San Francisco,CA,SFO,19.8,OAK,22.7,SJC,10,252.69,Liberty Taxi,Memorial Hospital,SFO,19.2,OAK,17.2,SJC,2.6
Ocean View Hotel,Los Angeles,CA,LAX,28.2,BUR,46,LGB,29.6,219.56,Rapid Cab,Regional Medical Center,SFO,21,OAK,1.8,SJC,20.3
Ocean View Hotel,San Francisco,CA,SFO,15.7,OAK,19.5,SJC,27.7,241.28,TopRide Taxi,Southern Health Clinic,LAX,5.5,BUR,20.7,LGB,24.9
Grand Plaza,San Francisco,CA,SFO,33.1,OAK,33.8,SJC,14.6,200.26,Express Cab,General Hospital,LAX,7.8,BUR,4.3,LGB,42.9
Pine Tree Inn,San Francisco,CA,SFO,43.3,OAK,39.6,SJC,17,107.35,Alpha Cab,City Health Clinic,SFO,4.4,OAK,21.5,SJC,14.5
City Center Lodge,San Francisco,CA,SFO,19.9,OAK,22.9,SJC,6.4,264.51,Star Taxi,Northeast Medical Center,LAX,15.4,BUR,44.6,LGB,14
Skyline Suites,San Francisco,CA,SFO,18.3,OAK,8.5,SJC,35.8,270.94,Eagle Taxi,St. Mary's Hospital,LAX,41,BUR,33.7,LGB,11.7
City Center Lodge,San Francisco,CA,SFO,3.4,OAK,30.2,SJC,41.6,119.7,TopRide Taxi,Central Clinic,LAX,32.1,BUR,18.7,LGB,28.3
Skyline Suites,San Francisco,CA,SFO,18.4,OAK,43.5,SJC,41.9,164.39,Metro Taxi,Regional Medical Center,LAX,21.5,BUR,31.3,LGB,1.5
Pine Tree Inn,San Francisco,CA,SFO,26.4,OAK,27.4,SJC,22.2,245.93,TopRide Taxi,Valley Health Center,LAX,35.1,BUR,18.5,LGB,45.4
Bay Area Hotel,San Francisco,CA,SFO,16.4,OAK,36.3,SJC,28.9,273.6,Star Taxi,Valley Health Center,SFO,6.6,OAK,1.6,SJC,41.3
Mountain Peak Lodge,San Francisco,CA,SFO,2.8,OAK,46.5,SJC,14.2,193.85,Urban Cabs,Memorial Hospital,SFO,43,OAK,43.3,SJC,35.2
Metro Inn,Los Angeles,CA,LAX,42.1,BUR,20.3,LGB,9.6,185.96,BlueLine Taxi,Northeast Medical Center,SFO,4.6,OAK,24.8,SJC,34.9
Sapphire Hotel,Los Angeles,CA,LAX,43.8,BUR,48.4,LGB,35,237.05,Green Cab,St. Mary's Hospital,SFO,29.6,OAK,4.2,SJC,16.3
Central Park Inn,San Francisco,CA,SFO,45.2,OAK,38.5,SJC,38.3,264.07,Metro Taxi,Northside Hospital,SFO,46,OAK,19.9,SJC,13.5
Golden Gate Hotel,San Francisco,CA,SFO,44.4,OAK,5.9,SJC,2,122.97,Alpha Cab,City Medical Center,SFO,22.6,OAK,19.1,SJC,15
Sunset Inn,San Francisco,CA,SFO,20,OAK,4.7,SJC,22.2,207.75,Premier Rides,Urban Health Clinic,LAX,9.4,BUR,44,LGB,46.7
Bay Area Hotel,San Francisco,CA,SFO,25.5,OAK,43.4,SJC,38.4,147.43,Elite Taxi,City Health Clinic,LAX,48.8,BUR,17.9,LGB,34.6
Coastal Breeze Hotel,San Francisco,CA,SFO,20.2,OAK,29.9,SJC,28,197.7,City Cab,Northeast Medical Center,SFO,19.1,OAK,25.7,SJC,25.4
Sunset Inn,Los Angeles,CA,LAX,23.4,BUR,9.4,LGB,33.5,209.35,Express Cab,Mountain View Hospital,LAX,40.9,BUR,16.4,LGB,36.4
Lakeside Inn,Los Angeles,CA,LAX,4.6,BUR,15.2,LGB,8.9,154.73,Rapid Cab,Urban Health Clinic,LAX,32.4,BUR,38.5,LGB,12.5
Skyline Suites,San Francisco,CA,SFO,10.1,OAK,37.3,SJC,1.1,208.46,Comfort Ride,City Health Clinic,LAX,44.9,BUR,39.4,LGB,19.5
Golden Gate Hotel,Los Angeles,CA,LAX,11.8,BUR,37.5,LGB,49.7,100.67,Urban Cabs,Lakeside Medical Center,LAX,33,BUR,18.4,LGB,19.7
Bay Area Hotel,Los Angeles,CA,LAX,3.5,BUR,42.7,LGB,14.7,231.01,BlueLine Taxi,West End Hospital,LAX,17.1,BUR,33.9,LGB,9.2
Capitol Stay,Los Angeles,CA,LAX,33.7,BUR,34.7,LGB,34.1,175.03,Rapid Cab,City Health Clinic,LAX,10.5,BUR,46,LGB,11.5
Skyline Suites,San Francisco,CA,SFO,45.6,OAK,18.4,SJC,2.8,112.7,Alpha Cab,Main Street Medical Center,SFO,0.6,OAK,36.6,SJC,43.3
Central Park Inn,Los Angeles,CA,LAX,27.5,BUR,32.8,LGB,27.3,252.79,Star Taxi,Harbor Hospital,SFO,46.5,OAK,4.8,SJC,13.7
Harbor View Hotel,Los Angeles,CA,LAX,48.2,BUR,6.8,LGB,15.7,279.42,Metro Taxi,Lakeside Medical Center,SFO,17.7,OAK,46.2,SJC,10.1
Palm Grove Hotel,San Francisco,CA,SFO,45.3,OAK,33.9,SJC,9.7,150.68,Liberty Taxi,Mountain View Hospital,SFO,24.9,OAK,33.6,SJC,30.6
Mountain Peak Lodge,San Francisco,CA,SFO,47.6,OAK,15.3,SJC,29,270.88,Sunshine Taxi,Northeast Medical Center,SFO,22.2,OAK,44.1,SJC,18
Bay Area Hotel,San Francisco,CA,SFO,42.1,OAK,33.4,SJC,15.3,148.97,Green Cab,St. Mary's Hospital,SFO,34.5,OAK,23.7,SJC,6.4
Mountain Peak Lodge,Los Angeles,CA,LAX,35.6,BUR,35.8,LGB,43.8,289.33,Express Cab,Coastal Health Center,LAX,18.6,BUR,40.7,LGB,36
Maple Leaf Lodge,Los Angeles,CA,LAX,10.9,BUR,32.8,LGB,20.3,224.78,Sunshine Taxi,West End Hospital,LAX,14.5,BUR,18.5,LGB,40.8
Garden Court Hotel,Los Angeles,CA,LAX,10.4,BUR,3.9,LGB,48.4,198.84,Rapid Cab,Lakeside Medical Center,SFO,41.7,OAK,6.5,SJC,1
Bay Area Hotel,Los Angeles,CA,LAX,8.6,BUR,4.9,LGB,15.9,155.78,Rapid Cab,Northeast Medical Center,SFO,12.6,OAK,20.1,SJC,4.3
Sapphire Hotel,Los Angeles,CA,LAX,28,BUR,35,LGB,42.4,188.29,Liberty Taxi,Mountain View Hospital,LAX,21.9,BUR,12.7,LGB,48.4
Skyline Suites,Los Angeles,CA,LAX,21.8,BUR,13.8,LGB,9.6,248.74,Star Taxi,Riverfront Medical Center,SFO,29.2,OAK,33.5,SJC,17.9
Riverfront Hotel,Los Angeles,CA,LAX,10.3,BUR,48.3,LGB,1.9,249.21,Green Cab,Community Hospital,LAX,24.4,BUR,11.8,LGB,19.7
City Center Lodge,San Francisco,CA,SFO,22.7,OAK,26.5,SJC,31.1,223.82,First Choice Taxi,Regional Medical Center,MIA,42,FLL,38.6,PBI,21.3
Central Park Inn,Miami,FL,MIA,45.5,FLL,14.5,PBI,28.9,222.01,Express Cab,Main Street Medical Center,MIA,44.3,FLL,27.2,PBI,17.3
Palm Grove Hotel,Miami,FL,MIA,45.3,FLL,38.9,PBI,10.8,238.61,Comfort Ride,Harbor Hospital,MIA,40,FLL,40.2,PBI,38.4
Central Park Inn,Miami,FL,MIA,36,FLL,43.5,PBI,13.7,165.75,Metro Taxi,Urban Health Clinic,MIA,18.9,FLL,20.9,PBI,30.9
Metro Inn,Miami,FL,MIA,10.2,FLL,21.1,PBI,40.1,135.15,Quick Ride,Community Hospital,MIA,40.1,FLL,29.8,PBI,18.9
Metro Inn,Miami,FL,MIA,30.7,FLL,47.6,PBI,8.5,203.55,Express Cab,Lakeside Medical Center,MIA,39.3,FLL,21.9,PBI,34.5
Central Park Inn,Miami,FL,MIA,5.2,FLL,4.4,PBI,45.4,207.82,Yellow Cab,Mountain View Hospital,MIA,18,FLL,25.6,PBI,4.4
Central Park Inn,Miami,FL,MIA,42.7,FLL,22.1,PBI,38.2,277.25,Town Car Service,Urban Health Clinic,MIA,43.4,FLL,23.2,PBI,16.7
Lakeside Inn,Miami,FL,MIA,46.2,FLL,19.1,PBI,29.8,167.27,Express Cab,Pine Valley Hospital,MIA,24,FLL,11.5,PBI,14.3
Capitol Stay,Miami,FL,MIA,14,FLL,14.3,PBI,25,265.61,Town Car Service,West End Hospital,MIA,42.1,FLL,36.7,PBI,11.5
Sapphire Hotel,Miami,FL,MIA,10,FLL,16.6,PBI,36.5,102.17,Rapid Cab,Valley Health Center,MIA,28.5,FLL,1.3,PBI,38.4
Bay Area Hotel,Miami,FL,MIA,18.9,FLL,16.4,PBI,34.8,280.23,Golden Cab,Community Hospital,MIA,17.1,FLL,48.1,PBI,1.4
Ocean View Hotel,Miami,FL,MIA,34.8,FLL,31.6,PBI,41.9,241.77,Best Taxi,City Health Clinic,MIA,41.3,FLL,45,PBI,39.6
Broadway Hotel,Miami,FL,MIA,21,FLL,24.1,PBI,35.3,263.5,Premier Rides,Southern Health Clinic,MIA,0.5,FLL,6.3,PBI,45.4
Pine Tree Inn,Miami,FL,MIA,3.4,FLL,26.5,PBI,15.9,168.32,Star Taxi,Main Street Medical Center,MIA,14.1,FLL,26.9,PBI,23.4
Coastal Breeze Hotel,Miami,FL,MIA,23.5,FLL,34.4,PBI,46.7,189.13,Urban Cabs,Southern Health Clinic,MIA,45.4,FLL,33.9,PBI,31.4
Skyline Suites,Miami,FL,MIA,7.4,FLL,6.6,PBI,13.2,123.13,Speedy Taxi,Downtown Medical Center,MIA,45.4,FLL,26.5,PBI,34
City Center Lodge,Miami,FL,MIA,6.4,FLL,8.1,PBI,49.2,177.1,Star Taxi,Mountain View Hospital,MIA,31.3,FLL,20.2,PBI,25.9
Urban Retreat,Miami,FL,MIA,2,FLL,4.9,PBI,14.6,268.19,Town Car Service,Community Hospital,MIA,3,FLL,21.3,PBI,43.3
Lakeside Inn,Miami,FL,MIA,45.2,FLL,6.1,PBI,45.7,235.61,Green Cab,Urban Health Clinic,MIA,4.9,FLL,42.8,PBI,12.3
Bay Area Hotel,Miami,FL,MIA,16.5,FLL,12.9,PBI,13.9,183.58,Quick Ride,Green Valley Hospital,MIA,4.9,FLL,19.9,PBI,11.7
Sunset Inn,Miami,FL,MIA,48.6,FLL,2.8,PBI,40.5,257.13,First Choice Taxi,West End Hospital,MIA,12,FLL,28.9,PBI,37.5
Sunset Inn,Miami,FL,MIA,17.3,FLL,43.5,PBI,41.9,101.46,Sunshine Taxi,Urban Health Clinic,MIA,13.4,FLL,19.5,PBI,25.2
Sunset Inn,Miami,FL,MIA,26.9,FLL,46.9,PBI,19.3,181.62,Speedy Taxi,Northeast Medical Center,MIA,17.9,FLL,11.6,PBI,23.9
Pine Tree Inn,Miami,FL,MIA,12.7,FLL,22.9,PBI,10.6,191.46,Sunshine Taxi,Pine Valley Hospital,MIA,41.5,FLL,28.2,PBI,41.7
Crystal Waters Hotel,Miami,FL,MIA,46.6,FLL,15.6,PBI,14.5,160.41,TopRide Taxi,City Health Clinic,MIA,5.3,FLL,38.5,PBI,31.1
Sunset Inn,Miami,FL,MIA,9.6,FLL,16.3,PBI,39.7,219.83,Sunshine Taxi,Regional Medical Center,MIA,42.5,FLL,34.5,PBI,45.9
Broadway Hotel,Miami,FL,MIA,40.9,FLL,18.3,PBI,37.4,281.04,Star Taxi,Downtown Medical Center,MIA,9.5,FLL,45.1,PBI,23.8
Skyline Suites,Miami,FL,MIA,4.9,FLL,45.1,PBI,13.1,107.65,Royal Cab,City Health Clinic,MIA,36.1,FLL,40.6,PBI,11.5
Grand Plaza,Miami,FL,MIA,16.4,FLL,17.9,PBI,7.2,207.71,Star Taxi,Memorial Hospital,MIA,20,FLL,41.7,PBI,32.9
Lakeside Inn,Miami,FL,MIA,34.2,FLL,15.9,PBI,21.3,214.82,City Cab,Northside Hospital,MIA,19.4,FLL,35.6,PBI,25.4
Sunset Inn,Miami,FL,MIA,45,FLL,39.6,PBI,13.7,186.55,Urban Cabs,City Health Clinic,MIA,22.1,FLL,2.6,PBI,12.2
Lakeside Inn,Miami,FL,MIA,20.7,FLL,3.2,PBI,34.6,238.58,Metro Taxi,General Hospital,MIA,20,FLL,27.9,PBI,36.3
Coastal Breeze Hotel,Miami,FL,MIA,11.2,FLL,43.1,PBI,32.7,131.83,Royal Cab,Central Clinic,MIA,14.7,FLL,33.9,PBI,1.5
Bay Area Hotel,Miami,FL,MIA,26.5,FLL,12.5,PBI,24.4,158.84,Town Car Service,Sunrise Hospital,MIA,26.4,FLL,16.3,PBI,26.7
Desert Resort,Miami,FL,MIA,19.2,FLL,25.9,PBI,2,233.19,Royal Cab,Coastal Health Center,MIA,47.2,FLL,47.3,PBI,20.3
Golden Gate Hotel,Miami,FL,MIA,35.5,FLL,4,PBI,32.1,149.29,Liberty Taxi,Urban Health Clinic,MIA,33.8,FLL,11.3,PBI,15.8
Emerald Isle Hotel,Miami,FL,MIA,33.3,FLL,30.6,PBI,24.6,157.07,Express Cab,Downtown Medical Center,MIA,44.8,FLL,23.3,PBI,28
Crystal Waters Hotel,Miami,FL,MIA,4.9,FLL,39.2,PBI,43.9,262.56,Best Taxi,Downtown Medical Center,MIA,3.3,FLL,44.2,PBI,20.2
Bay Area Hotel,Miami,FL,MIA,26.3,FLL,37.2,PBI,49.9,293.24,Elite Taxi,City Health Clinic,MIA,33.3,FLL,22.8,PBI,16.2
Coastal Breeze Hotel,Miami,FL,MIA,47.2,FLL,30.1,PBI,12.2,267.35,TopRide Taxi,Eastside Medical Center,MIA,26.4,FLL,41.6,PBI,4.4
Mountain Peak Lodge,Miami,FL,MIA,24.2,FLL,21.9,PBI,23.5,264.62,Golden Cab,Riverfront Medical Center,MIA,31.1,FLL,24.7,PBI,9
Ocean View Hotel,Miami,FL,MIA,32.5,FLL,47.6,PBI,20.1,260.93,City Cab,Southern Health Clinic,MIA,24.5,FLL,29.5,PBI,3.5
Crystal Waters Hotel,Miami,FL,MIA,41,FLL,26,PBI,42.7,211.08,BlueLine Taxi,Eastside Medical Center,MIA,48.4,FLL,34.4,PBI,49.3
Coastal Breeze Hotel,Miami,FL,MIA,2.2,FLL,14.2,PBI,27.7,223.63,Sunshine Taxi,General Hospital,MIA,43.8,FLL,26.9,PBI,32.3
Bay Area Hotel,Miami,FL,MIA,14.3,FLL,26.1,PBI,46.2,265.08,Elite Taxi,Downtown Medical Center,MIA,4.9,FLL,31.4,PBI,40
Central Park Inn,Miami,FL,MIA,25.6,FLL,23,PBI,27.4,135.7,Rapid Cab,Urban Health Clinic,MIA,30.1,FLL,36.8,PBI,4.9
Bay Area Hotel,Miami,FL,MIA,34.4,FLL,9.3,PBI,4.9,149.32,Speedy Taxi,Northeast Medical Center,MIA,12.6,FLL,47.7,PBI,14
Capitol Stay,Miami,FL,MIA,10.8,FLL,35.3,PBI,39.6,142.27,Express Cab,Riverfront Medical Center,MIA,8.6,FLL,13.2,PBI,6.6
Skyline Suites,Miami,FL,MIA,26,FLL,6,PBI,4.3,124.54,Premier Rides,Northeast Medical Center,MIA,45.8,FLL,19.3,PBI,32.2
Coastal Breeze Hotel,Miami,FL,MIA,43.3,FLL,39.1,PBI,49.7,293.77,Star Taxi,Valley Health Center,MIA,38.6,FLL,27.6,PBI,31.8
Sapphire Hotel,Miami,FL,MIA,21.1,FLL,18.5,PBI,9.1,176.17,Sunshine Taxi,Downtown Medical Center,MIA,41.8,FLL,21.2,PBI,36
Sunset Inn,Miami,FL,MIA,34.4,FLL,36,PBI,11,298.42,Express Cab,Central Clinic,MIA,25.4,FLL,19.6,PBI,18.8
Harbor View Hotel,Miami,FL,MIA,38.1,FLL,29.6,PBI,24.3,213.18,TopRide Taxi,Sunrise Hospital,MIA,19.4,FLL,12,PBI,15.6
Golden Gate Hotel,Miami,FL,MIA,28,FLL,19.8,PBI,28.6,226.54,Quick Ride,Green Valley Hospital,MIA,9.2,FLL,47.7,PBI,3.6
Metro Inn,Miami,FL,MIA,24.9,FLL,45.7,PBI,1.5,299.39,Star Taxi,City Medical Center,MIA,25.6,FLL,19.1,PBI,43.4
Golden Gate Hotel,Miami,FL,MIA,13.9,FLL,6.3,PBI,31.5,113.34,Premier Rides,Community Hospital,MIA,48.9,FLL,31.5,PBI,19.1
Urban Retreat,Miami,FL,MIA,11,FLL,18.5,PBI,33.2,268.05,Rapid Cab,Riverfront Medical Center,MIA,43.2,FLL,9.9,PBI,19.7
Emerald Isle Hotel,Miami,FL,MIA,21.4,FLL,37.4,PBI,28.5,144.38,Express Cab,Sunrise Hospital,MIA,21.6,FLL,6.1,PBI,19
Harbor View Hotel,Miami,FL,MIA,0.8,FLL,3.9,PBI,44.2,228.5,Best Taxi,Sunrise Hospital,MIA,21,FLL,20.4,PBI,24.2
Pine Tree Inn,Miami,FL,MIA,16.5,FLL,30.2,PBI,38.9,136.75,First Choice Taxi,Southern Health Clinic,MIA,33.3,FLL,26.3,PBI,34.9
Skyline Suites,Miami,FL,MIA,23.2,FLL,31.2,PBI,35.4,164.91,Reliable Rides,Riverfront Medical Center,MIA,19,FLL,27.9,PBI,43.6
Emerald Isle Hotel,Miami,FL,MIA,40.7,FLL,31.7,PBI,17.2,173,Eagle Taxi,Mountain View Hospital,MIA,20.5,FLL,17.1,PBI,35.2
Lakeside Inn,Miami,FL,MIA,16.8,FLL,17,PBI,37.9,153.66,Eagle Taxi,Northside Hospital,MIA,6,FLL,33.7,PBI,14.1
Pine Tree Inn,Miami,FL,MIA,14.5,FLL,41.9,PBI,38.3,246.91,Premier Rides,Eastside Medical Center,MIA,1.6,FLL,35.8,PBI,18.9
Desert Resort,Miami,FL,MIA,15.2,FLL,13,PBI,47.6,249.26,Comfort Ride,Memorial Hospital,MIA,24.9,FLL,6.7,PBI,30.4
Bay Area Hotel,Miami,FL,MIA,20.4,FLL,1.8,PBI,17.9,107.7,Yellow Cab,Lakeside Medical Center,MIA,27.6,FLL,10.5,PBI,40.2
Central Park Inn,Miami,FL,MIA,8.9,FLL,4.4,PBI,49.8,203.61,City Cab,Valley Health Center,MIA,32.6,FLL,44.7,PBI,10.8
Pine Tree Inn,Miami,FL,MIA,41,FLL,15.3,PBI,15.5,142.34,City Cab,City Health Clinic,MIA,36.5,FLL,22.2,PBI,42.2
Bay Area Hotel,Miami,FL,MIA,38.9,FLL,42.7,PBI,18.5,267.66,Urban Cabs,St. Mary's Hospital,MIA,25.8,FLL,32.2,PBI,13.8
City Center Lodge,Miami,FL,MIA,49.6,FLL,47.1,PBI,21.7,257.51,Comfort Ride,Coastal Health Center,MIA,45.3,FLL,28.9,PBI,34.5
Lakeside Inn,Miami,FL,MIA,0.9,FLL,45.4,PBI,34.8,265.52,Town Car Service,Community Hospital,MIA,20.5,FLL,13.7,PBI,7.9
Urban Retreat,Miami,FL,MIA,7.5,FLL,38.2,PBI,35.2,215.97,Liberty Taxi,Community Hospital,MIA,34,FLL,9.9,PBI,39.2
Urban Retreat,Miami,FL,MIA,28.6,FLL,15.6,PBI,45.8,185.82,Speedy Taxi,Regional Medical Center,MIA,19.9,FLL,31.1,PBI,5
Ocean View Hotel,Miami,FL,MIA,15.2,FLL,26.8,PBI,36.9,243.41,Liberty Taxi,Sunrise Hospital,MIA,20,FLL,14.1,PBI,46.5
Emerald Isle Hotel,Miami,FL,MIA,43.2,FLL,1.9,PBI,24,231.38,Eagle Taxi,City Medical Center,MIA,21.8,FLL,36.5,PBI,21.2
Riverfront Hotel,Miami,FL,MIA,41.3,FLL,6.4,PBI,5.7,200.28,Premier Rides,Eastside Medical Center,MIA,45.6,FLL,28.2,PBI,26.2
Crystal Waters Hotel,Miami,FL,MIA,28.2,FLL,2.3,PBI,36.8,123.81,Eagle Taxi,St. Mary's Hospital,MIA,9,FLL,8.4,PBI,48.6
Ocean View Hotel,Miami,FL,MIA,17.6,FLL,16.1,PBI,28.5,222.07,Liberty Taxi,Downtown Medical Center,MIA,19,FLL,31.3,PBI,19
Emerald Isle Hotel,Miami,FL,MIA,43.5,FLL,8.9,PBI,19.2,219.96,Town Car Service,City Medical Center,MIA,29.8,FLL,30.7,PBI,13.3
Broadway Hotel,Miami,FL,MIA,31.9,FLL,33.9,PBI,19,277.17,BlueLine Taxi,Main Street Medical Center,MIA,38.3,FLL,36.9,PBI,7.9
Crystal Waters Hotel,Miami,FL,MIA,27.2,FLL,25.8,PBI,38.7,109.05,Eagle Taxi,General Hospital,MIA,24.4,FLL,16.9,PBI,12.5
Bay Area Hotel,Miami,FL,MIA,27.7,FLL,3.5,PBI,42.1,128.56,TopRide Taxi,West End Hospital,MIA,2.3,FLL,35.9,PBI,13.1
Lakeside Inn,Miami,FL,MIA,12.1,FLL,20.9,PBI,2.1,227.08,Eagle Taxi,Lakeside Medical Center,MIA,6.1,FLL,9.7,PBI,2.5
Riverfront Hotel,Miami,FL,MIA,20.8,FLL,40.4,PBI,44.5,203.07,Eagle Taxi,St. Mary's Hospital,MIA,38.8,FLL,46.6,PBI,43.3
Broadway Hotel,Miami,FL,MIA,33.4,FLL,18.7,PBI,41.2,125.39,Speedy Taxi,Mountain View Hospital,MIA,32,FLL,14.1,PBI,20.9
Pine Tree Inn,Miami,FL,MIA,49.8,FLL,30,PBI,7.2,165.78,Elite Taxi,Mountain View Hospital,MIA,28.3,FLL,34.2,PBI,27.2
Maple Leaf Lodge,Miami,FL,MIA,49.9,FLL,25,PBI,18.6,198.52,Eagle Taxi,Green Valley Hospital,MIA,15.4,FLL,20.8,PBI,20.6
Bay Area Hotel,Miami,FL,MIA,24.8,FLL,32.6,PBI,35.4,107.99,Liberty Taxi,Downtown Medical Center,MIA,25.6,FLL,5.6,PBI,33.3
Capitol Stay,Miami,FL,MIA,5.9,FLL,9.8,PBI,7,229.46,First Choice Taxi,Southern Health Clinic,MIA,43.3,FLL,21.2,PBI,28
