Hospital Name,City,State,Nearest Airport 1,Distance to Airport 1 (miles),Nearest Airport 2,Distance to Airport 2 (miles),Nearest Airport 3,Distance to Airport 3 (miles)
West End Hospital,Phoenix,AZ,PHX,16.6,AZA,6.1,SDL,40.3
West End Hospital,Chicago,IL,ORD,28.6,MDW,6.7,RFD,20.2
Northeast Medical Center,Phoenix,AZ,PHX,45.2,AZA,24.5,SDL,41.3
Central Clinic,Los Angeles,CA,LAX,11.9,BUR,44.0,LGB,36.4
Central Clinic,San Francisco,CA,SFO,9.2,OAK,24.5,SJC,47.9
General Hospital,San Francisco,CA,SFO,6.2,OAK,21.1,SJC,1.1
St. Mary's Hospital,Atlanta,GA,ATL,6.1,PBI,29.7,BHM,18.2
City Health Clinic,San Francisco,CA,SFO,41.1,OAK,14.7,SJC,29.6
Downtown Medical Center,Seattle,WA,SEA,11.9,PAE,7.1,BFI,31.8
Community Hospital,New York,NY,JFK,49.3,LGA,30.4,EWR,24.5
Green Valley Hospital,Phoenix,AZ,PHX,1.2,AZA,33.8,SDL,13.4
City Medical Center,Seattle,WA,SEA,2.0,PAE,30.5,BFI,24.8
Riverfront Medical Center,Seattle,WA,SEA,3.0,PAE,48.6,BFI,16.5
Pine Valley Hospital,San Francisco,CA,SFO,1.9,OAK,20.6,SJC,41.0
Central Clinic,Los Angeles,CA,LAX,27.8,BUR,22.4,LGB,23.1
West End Hospital,Los Angeles,CA,LAX,4.4,BUR,17.6,LGB,1.5
Downtown Medical Center,New York,NY,JFK,42.6,LGA,18.3,EWR,19.4
Regional Medical Center,Phoenix,AZ,PHX,19.5,AZA,7.4,SDL,17.8
Community Hospital,Washington,DC,DCA,13.2,IAD,29.8,BWI,5.0
Eastside Medical Center,Chicago,IL,ORD,37.5,MDW,45.8,RFD,37.6
Lakeside Medical Center,Atlanta,GA,ATL,46.9,PBI,8.2,BHM,19.6
Central Clinic,Washington,DC,DCA,29.9,IAD,29.2,BWI,45.1
Community Hospital,Chicago,IL,ORD,16.5,MDW,6.7,RFD,13.9
Riverfront Medical Center,Chicago,IL,ORD,47.3,MDW,44.3,RFD,19.2
Central Clinic,Atlanta,GA,ATL,5.2,PBI,32.7,BHM,9.2
Central Clinic,Chicago,IL,ORD,29.4,MDW,6.7,RFD,33.4
General Hospital,St. Louis,MO,STL,15.8,CPS,29.9,BLV,8.9
St. Mary's Hospital,Phoenix,AZ,PHX,1.0,AZA,38.8,SDL,35.6
Central Clinic,Los Angeles,CA,LAX,37.3,BUR,19.3,LGB,40.3
Urban Health Clinic,Atlanta,GA,ATL,47.7,PBI,2.3,BHM,6.3
Downtown Medical Center,Miami,FL,MIA,9.5,FLL,45.1,PBI,23.8
Central Clinic,Washington,DC,DCA,35.1,IAD,14.4,BWI,9.9
Central Clinic,Phoenix,AZ,PHX,35.3,AZA,20.5,SDL,36.3
Riverfront Medical Center,Atlanta,GA,ATL,37.7,PBI,18.8,BHM,13.7
Pine Valley Hospital,Chicago,IL,ORD,1.1,MDW,49.6,RFD,28.1
Southern Health Clinic,Washington,DC,DCA,7.9,IAD,16.7,BWI,40.1
Community Hospital,Seattle,WA,SEA,29.9,PAE,18.1,BFI,30.2
Lakeside Medical Center,San Francisco,CA,SFO,18.4,OAK,23.3,SJC,30.6
City Health Clinic,Chicago,IL,ORD,6.3,MDW,33.5,RFD,26.1
Coastal Health Center,Chicago,IL,ORD,26.6,MDW,7.3,RFD,14.5
Memorial Hospital,St. Louis,MO,STL,35.0,CPS,46.4,BLV,46.1
City Medical Center,Washington,DC,DCA,46.3,IAD,25.2,BWI,6.7
Northside Hospital,Phoenix,AZ,PHX,30.6,AZA,28.5,SDL,17.8
Northeast Medical Center,Atlanta,GA,ATL,16.6,PBI,37.1,BHM,20.7
Community Hospital,San Francisco,CA,SFO,7.2,OAK,47.9,SJC,38.3
Memorial Hospital,San Francisco,CA,SFO,48.1,OAK,36.5,SJC,48.9
Valley Health Center,St. Louis,MO,STL,5.1,CPS,27.9,BLV,27.3
Northside Hospital,Seattle,WA,SEA,10.8,PAE,12.2,BFI,26.5
Northeast Medical Center,New York,NY,JFK,36.1,LGA,15.9,EWR,37.4
Riverfront Medical Center,Los Angeles,CA,LAX,11.5,BUR,21.3,LGB,0.9
Urban Health Clinic,Los Angeles,CA,LAX,16.0,BUR,24.1,LGB,23.9
Regional Medical Center,Seattle,WA,SEA,37.0,PAE,44.8,BFI,31.8
Urban Health Clinic,Phoenix,AZ,PHX,10.8,AZA,7.0,SDL,20.4
City Medical Center,St. Louis,MO,STL,8.8,CPS,7.8,BLV,38.5
Mountain View Hospital,Washington,DC,DCA,3.1,IAD,10.7,BWI,25.0
West End Hospital,Phoenix,AZ,PHX,29.5,AZA,39.7,SDL,35.9
Sunrise Hospital,Washington,DC,DCA,9.7,IAD,0.9,BWI,28.0
Community Hospital,Phoenix,AZ,PHX,32.7,AZA,11.7,SDL,26.9
Sunrise Hospital,Atlanta,GA,ATL,14.9,PBI,5.2,BHM,34.8
Urban Health Clinic,Los Angeles,CA,LAX,39.1,BUR,46.3,LGB,49.3
Mountain View Hospital,San Francisco,CA,SFO,33.6,OAK,7.8,SJC,7.6
Regional Medical Center,Seattle,WA,SEA,31.9,PAE,14.9,BFI,1.5
City Health Clinic,Atlanta,GA,ATL,27.6,PBI,48.2,BHM,20.6
Southern Health Clinic,San Francisco,CA,SFO,13.2,OAK,16.6,SJC,30.1
Riverfront Medical Center,Seattle,WA,SEA,41.8,PAE,21.8,BFI,25.6
Mountain View Hospital,Chicago,IL,ORD,7.6,MDW,4.6,RFD,48.6
Central Clinic,Phoenix,AZ,PHX,29.5,AZA,2.2,SDL,26.6
Lakeside Medical Center,Los Angeles,CA,LAX,0.9,BUR,30.5,LGB,39.0
Eastside Medical Center,St. Louis,MO,STL,22.5,CPS,42.0,BLV,20.8
City Health Clinic,San Francisco,CA,SFO,23.1,OAK,7.5,SJC,45.2
Northeast Medical Center,Miami,FL,MIA,17.9,FLL,11.6,PBI,23.9
Regional Medical Center,Phoenix,AZ,PHX,0.8,AZA,28.6,SDL,30.0
Community Hospital,San Francisco,CA,SFO,46.6,OAK,40.0,SJC,16.9
Mountain View Hospital,Washington,DC,DCA,49.3,IAD,45.5,BWI,5.2
Regional Medical Center,Seattle,WA,SEA,31.1,PAE,39.9,BFI,47.5
Eastside Medical Center,New York,NY,JFK,22.8,LGA,19.3,EWR,9.8
Pine Valley Hospital,Washington,DC,DCA,11.1,IAD,47.8,BWI,19.1
Memorial Hospital,Chicago,IL,ORD,2.4,MDW,28.3,RFD,12.1
City Health Clinic,Phoenix,AZ,PHX,39.0,AZA,42.8,SDL,41.2
Coastal Health Center,Phoenix,AZ,PHX,43.8,AZA,32.6,SDL,30.5
Eastside Medical Center,Washington,DC,DCA,10.2,IAD,18.2,BWI,24.9
Northside Hospital,San Francisco,CA,SFO,27.4,OAK,30.8,SJC,39.8
Downtown Medical Center,Atlanta,GA,ATL,18.1,PBI,47.0,BHM,38.1
Green Valley Hospital,Atlanta,GA,ATL,49.5,PBI,31.5,BHM,3.7
Central Clinic,Atlanta,GA,ATL,39.6,PBI,36.0,BHM,42.0
Harbor Hospital,New York,NY,JFK,23.7,LGA,20.5,EWR,37.6
Urban Health Clinic,Miami,FL,MIA,43.4,FLL,23.2,PBI,16.7
St. Mary's Hospital,San Francisco,CA,SFO,20.7,OAK,17.9,SJC,17.4
West End Hospital,Miami,FL,MIA,42.1,FLL,36.7,PBI,11.5
Regional Medical Center,Phoenix,AZ,PHX,38.6,AZA,46.3,SDL,10.2
City Medical Center,Phoenix,AZ,PHX,41.1,AZA,15.8,SDL,5.5
Coastal Health Center,St. Louis,MO,STL,8.6,CPS,11.2,BLV,3.3
Riverfront Medical Center,Atlanta,GA,ATL,32.7,PBI,49.0,BHM,25.1
Eastside Medical Center,Atlanta,GA,ATL,2.6,PBI,3.3,BHM,10.1
Southern Health Clinic,Los Angeles,CA,LAX,34.7,BUR,1.2,LGB,12.7
Mountain View Hospital,Chicago,IL,ORD,17.0,MDW,45.0,RFD,27.6
St. Mary's Hospital,Seattle,WA,SEA,23.7,PAE,40.9,BFI,27.6
Riverfront Medical Center,Washington,DC,DCA,30.0,IAD,23.0,BWI,22.0
Pine Valley Hospital,Atlanta,GA,ATL,26.1,PBI,15.1,BHM,33.1
City Health Clinic,Miami,FL,MIA,41.3,FLL,45.0,PBI,39.6
Harbor Hospital,Atlanta,GA,ATL,1.5,PBI,37.1,BHM,19.9
Harbor Hospital,Los Angeles,CA,LAX,23.5,BUR,31.6,LGB,28.8
Main Street Medical Center,Miami,FL,MIA,14.1,FLL,26.9,PBI,23.4
Riverfront Medical Center,Los Angeles,CA,LAX,28.7,BUR,37.3,LGB,19.0
City Health Clinic,Chicago,IL,ORD,39.7,MDW,46.3,RFD,48.7
West End Hospital,New York,NY,JFK,9.2,LGA,36.9,EWR,38.1
Memorial Hospital,Seattle,WA,SEA,36.5,PAE,5.8,BFI,36.7
Community Hospital,Miami,FL,MIA,3.0,FLL,21.3,PBI,43.3
Eastside Medical Center,St. Louis,MO,STL,43.5,CPS,49.7,BLV,29.2
Riverfront Medical Center,St. Louis,MO,STL,39.1,CPS,22.1,BLV,40.3
Downtown Medical Center,Chicago,IL,ORD,4.7,MDW,11.0,RFD,25.9
Community Hospital,Atlanta,GA,ATL,39.8,PBI,47.3,BHM,31.9
Green Valley Hospital,Seattle,WA,SEA,40.7,PAE,47.4,BFI,13.4
Riverfront Medical Center,Los Angeles,CA,LAX,21.2,BUR,35.6,LGB,10.0
Northeast Medical Center,Washington,DC,DCA,21.3,IAD,4.1,BWI,21.7
Eastside Medical Center,Phoenix,AZ,PHX,18.8,AZA,18.2,SDL,49.0
Lakeside Medical Center,Atlanta,GA,ATL,25.8,PBI,3.8,BHM,7.5
Downtown Medical Center,New York,NY,JFK,37.6,LGA,48.3,EWR,7.1
Lakeside Medical Center,Seattle,WA,SEA,33.4,PAE,39.5,BFI,10.2
Northside Hospital,San Francisco,CA,SFO,6.1,OAK,8.0,SJC,8.1
Sunrise Hospital,Seattle,WA,SEA,32.4,PAE,14.3,BFI,44.0
Lakeside Medical Center,Seattle,WA,SEA,1.8,PAE,5.5,BFI,26.3
Lakeside Medical Center,Chicago,IL,ORD,39.7,MDW,4.6,RFD,21.2
Community Hospital,Miami,FL,MIA,20.5,FLL,13.7,PBI,7.9
Lakeside Medical Center,Seattle,WA,SEA,5.8,PAE,17.1,BFI,8.3
Community Hospital,Miami,FL,MIA,34.0,FLL,9.9,PBI,39.2
Southern Health Clinic,Seattle,WA,SEA,12.3,PAE,21.3,BFI,20.3
St. Mary's Hospital,Atlanta,GA,ATL,44.4,PBI,47.9,BHM,35.3
Valley Health Center,Washington,DC,DCA,33.3,IAD,29.0,BWI,6.8
Regional Medical Center,Miami,FL,MIA,19.9,FLL,31.1,PBI,5.0
St. Mary's Hospital,Chicago,IL,ORD,23.2,MDW,17.6,RFD,0.6
Regional Medical Center,Chicago,IL,ORD,49.8,MDW,45.1,RFD,47.5
Sunrise Hospital,Atlanta,GA,ATL,7.3,PBI,48.7,BHM,25.8
Lakeside Medical Center,Seattle,WA,SEA,15.0,PAE,2.7,BFI,44.9
Regional Medical Center,Los Angeles,CA,LAX,4.8,BUR,38.9,LGB,23.1
City Medical Center,Seattle,WA,SEA,3.0,PAE,15.9,BFI,12.4
Mountain View Hospital,Los Angeles,CA,LAX,36.2,BUR,44.1,LGB,4.6
Urban Health Clinic,Los Angeles,CA,LAX,39.7,BUR,9.1,LGB,4.2
City Medical Center,New York,NY,JFK,10.5,LGA,8.4,EWR,16.4
Green Valley Hospital,New York,NY,JFK,46.0,LGA,20.3,EWR,46.0
Main Street Medical Center,St. Louis,MO,STL,40.1,CPS,18.1,BLV,14.9
City Medical Center,New York,NY,JFK,49.2,LGA,1.8,EWR,48.5
Downtown Medical Center,San Francisco,CA,SFO,47.7,OAK,6.6,SJC,13.2
Urban Health Clinic,San Francisco,CA,SFO,3.7,OAK,21.5,SJC,33.8
Southern Health Clinic,Washington,DC,DCA,41.5,IAD,0.7,BWI,44.1
St. Mary's Hospital,St. Louis,MO,STL,33.8,CPS,46.7,BLV,49.9
General Hospital,Seattle,WA,SEA,7.9,PAE,25.4,BFI,35.1
Green Valley Hospital,New York,NY,JFK,39.2,LGA,45.7,EWR,9.0
Mountain View Hospital,New York,NY,JFK,14.4,LGA,11.6,EWR,39.1
Riverfront Medical Center,Atlanta,GA,ATL,9.6,PBI,8.7,BHM,27.1
West End Hospital,Seattle,WA,SEA,13.8,PAE,34.0,BFI,45.4
Lakeside Medical Center,Atlanta,GA,ATL,2.8,PBI,48.1,BHM,30.5
City Medical Center,St. Louis,MO,STL,12.4,CPS,35.8,BLV,41.2
Regional Medical Center,New York,NY,JFK,41.1,LGA,12.4,EWR,3.3
Mountain View Hospital,Miami,FL,MIA,28.3,FLL,34.2,PBI,27.2
Green Valley Hospital,Miami,FL,MIA,15.4,FLL,20.8,PBI,20.6
Coastal Health Center,Washington,DC,DCA,47.0,IAD,12.7,BWI,12.7
Main Street Medical Center,Los Angeles,CA,LAX,2.3,BUR,3.4,LGB,43.7
Valley Health Center,Los Angeles,CA,LAX,25.4,BUR,33.4,LGB,28.1
Riverfront Medical Center,Chicago,IL,ORD,21.2,MDW,49.9,RFD,38.6
Southern Health Clinic,Phoenix,AZ,PHX,40.8,AZA,27.3,SDL,16.7
Southern Health Clinic,Miami,FL,MIA,43.3,FLL,21.2,PBI,28.0
Central Clinic,Los Angeles,CA,LAX,2.2,BUR,48.9,LGB,18.1
General Hospital,St. Louis,MO,STL,30.9,CPS,42.6,BLV,26.3
Main Street Medical Center,Chicago,IL,ORD,5.7,MDW,31.7,RFD,10.1
Green Valley Hospital,New York,NY,JFK,16.3,LGA,44.7,EWR,20.8
Pine Valley Hospital,Phoenix,AZ,PHX,19.1,AZA,13.0,SDL,16.3
City Medical Center,Washington,DC,DCA,36.9,IAD,16.6,BWI,9.7
Memorial Hospital,New York,NY,JFK,44.5,LGA,6.1,EWR,18.8
Northside Hospital,St. Louis,MO,STL,31.6,CPS,48.6,BLV,7.0
St. Mary's Hospital,St. Louis,MO,STL,22.2,CPS,48.0,BLV,9.2
Pine Valley Hospital,Washington,DC,DCA,28.6,IAD,18.7,BWI,48.7
Regional Medical Center,Atlanta,GA,ATL,38.0,PBI,25.0,BHM,34.2
General Hospital,Chicago,IL,ORD,20.2,MDW,25.8,RFD,30.4
Riverfront Medical Center,Los Angeles,CA,LAX,12.4,BUR,2.4,LGB,17.5
Urban Health Clinic,Chicago,IL,ORD,14.6,MDW,26.2,RFD,33.4
Central Clinic,Atlanta,GA,ATL,33.3,PBI,42.3,BHM,11.8
West End Hospital,Washington,DC,DCA,1.9,IAD,9.1,BWI,13.0
Northside Hospital,New York,NY,JFK,28.7,LGA,19.4,EWR,49.3
Lakeside Medical Center,Chicago,IL,ORD,29.0,MDW,39.7,RFD,13.0
City Health Clinic,New York,NY,JFK,44.5,LGA,37.9,EWR,23.2
Downtown Medical Center,Phoenix,AZ,PHX,35.9,AZA,35.9,SDL,34.4
Riverfront Medical Center,Chicago,IL,ORD,12.5,MDW,42.3,RFD,34.1
Riverfront Medical Center,St. Louis,MO,STL,41.0,CPS,19.7,BLV,49.7
Central Clinic,Miami,FL,MIA,25.4,FLL,19.6,PBI,18.8
Northeast Medical Center,San Francisco,CA,SFO,32.0,OAK,24.1,SJC,17.9
General Hospital,Seattle,WA,SEA,39.4,PAE,4.5,BFI,43.3
General Hospital,New York,NY,JFK,2.4,LGA,23.6,EWR,11.7
Valley Health Center,St. Louis,MO,STL,13.9,CPS,13.4,BLV,14.2
Mountain View Hospital,Washington,DC,DCA,39.9,IAD,19.6,BWI,20.2
Green Valley Hospital,San Francisco,CA,SFO,21.6,OAK,11.6,SJC,24.5
Community Hospital,San Francisco,CA,SFO,3.2,OAK,39.0,SJC,12.2
Urban Health Clinic,Seattle,WA,SEA,49.6,PAE,25.0,BFI,28.8
Harbor Hospital,Phoenix,AZ,PHX,43.5,AZA,13.4,SDL,46.4
Sunrise Hospital,Miami,FL,MIA,21.0,FLL,20.4,PBI,24.2
Main Street Medical Center,San Francisco,CA,SFO,36.7,OAK,10.1,SJC,48.8
Pine Valley Hospital,Seattle,WA,SEA,15.9,PAE,42.1,BFI,3.6
Urban Health Clinic,Atlanta,GA,ATL,44.5,PBI,33.2,BHM,20.9
Valley Health Center,Chicago,IL,ORD,13.9,MDW,30.1,RFD,35.3
Southern Health Clinic,San Francisco,CA,SFO,27.1,OAK,34.7,SJC,4.1
Northside Hospital,Los Angeles,CA,LAX,40.2,BUR,39.0,LGB,46.8
Northside Hospital,Miami,FL,MIA,6.0,FLL,33.7,PBI,14.1
Eastside Medical Center,Miami,FL,MIA,1.6,FLL,35.8,PBI,18.9
Coastal Health Center,New York,NY,JFK,25.1,LGA,37.5,EWR,39.0
Southern Health Clinic,Washington,DC,DCA,29.6,IAD,46.2,BWI,48.0
Pine Valley Hospital,Atlanta,GA,ATL,43.6,PBI,20.2,BHM,35.2
Northeast Medical Center,Los Angeles,CA,LAX,46.6,BUR,28.2,LGB,2.7
Central Clinic,Los Angeles,CA,LAX,6.7,BUR,18.8,LGB,0.7
Community Hospital,San Francisco,CA,SFO,29.5,OAK,11.2,SJC,49.3
Northside Hospital,New York,NY,JFK,37.4,LGA,42.7,EWR,40.2
General Hospital,St. Louis,MO,STL,3.8,CPS,27.3,BLV,27.3
Downtown Medical Center,Washington,DC,DCA,12.8,IAD,6.2,BWI,37.1
Coastal Health Center,San Francisco,CA,SFO,11.6,OAK,39.7,SJC,47.7
Riverfront Medical Center,Los Angeles,CA,LAX,0.9,BUR,2.5,LGB,27.7
Harbor Hospital,Phoenix,AZ,PHX,24.3,AZA,26.4,SDL,0.8
Regional Medical Center,Atlanta,GA,ATL,24.0,PBI,41.6,BHM,13.9
Green Valley Hospital,Seattle,WA,SEA,23.0,PAE,35.0,BFI,17.7
Coastal Health Center,Phoenix,AZ,PHX,21.4,AZA,16.4,SDL,31.3
St. Mary's Hospital,Seattle,WA,SEA,25.3,PAE,38.3,BFI,20.6
Riverfront Medical Center,Phoenix,AZ,PHX,28.5,AZA,47.1,SDL,2.0
St. Mary's Hospital,New York,NY,JFK,49.9,LGA,46.5,EWR,30.9
Urban Health Clinic,Chicago,IL,ORD,42.7,MDW,47.7,RFD,49.7
Southern Health Clinic,Chicago,IL,ORD,43.7,MDW,47.9,RFD,38.3
Sunrise Hospital,San Francisco,CA,SFO,49.3,OAK,24.7,SJC,43.6
Central Clinic,Chicago,IL,ORD,39.6,MDW,6.4,RFD,22.7
Lakeside Medical Center,New York,NY,JFK,23.2,LGA,38.3,EWR,17.1
West End Hospital,Phoenix,AZ,PHX,46.5,AZA,30.5,SDL,2.2
West End Hospital,Atlanta,GA,ATL,11.1,PBI,24.0,BHM,0.7
St. Mary's Hospital,Los Angeles,CA,LAX,39.6,BUR,40.3,LGB,49.9
Green Valley Hospital,Chicago,IL,ORD,32.5,MDW,16.0,RFD,49.0
Community Hospital,Atlanta,GA,ATL,26.9,PBI,46.4,BHM,7.9
Community Hospital,Seattle,WA,SEA,2.1,PAE,5.6,BFI,6.0
Main Street Medical Center,Los Angeles,CA,LAX,28.3,BUR,22.4,LGB,42.7
Central Clinic,Chicago,IL,ORD,19.3,MDW,11.1,RFD,47.3
Coastal Health Center,Washington,DC,DCA,40.0,IAD,18.6,BWI,25.9
Northside Hospital,San Francisco,CA,SFO,13.2,OAK,49.9,SJC,45.7
Riverfront Medical Center,Los Angeles,CA,LAX,1.1,BUR,44.0,LGB,48.0
Southern Health Clinic,New York,NY,JFK,13.0,LGA,0.5,EWR,36.8
Central Clinic,San Francisco,CA,SFO,4.9,OAK,34.5,SJC,19.3
City Medical Center,Chicago,IL,ORD,27.6,MDW,22.8,RFD,4.2
Harbor Hospital,San Francisco,CA,SFO,8.2,OAK,40.3,SJC,23.5
Central Clinic,Washington,DC,DCA,17.9,IAD,35.5,BWI,10.5
Main Street Medical Center,Los Angeles,CA,LAX,14.5,BUR,18.0,LGB,24.4
Riverfront Medical Center,Phoenix,AZ,PHX,11.1,AZA,20.1,SDL,6.4
City Medical Center,Washington,DC,DCA,48.8,IAD,11.7,BWI,19.6
Green Valley Hospital,San Francisco,CA,SFO,15.4,OAK,15.5,SJC,28.5
Harbor Hospital,Atlanta,GA,ATL,0.6,PBI,5.5,BHM,38.1
Sunrise Hospital,Chicago,IL,ORD,10.4,MDW,7.8,RFD,47.9
Sunrise Hospital,Phoenix,AZ,PHX,5.3,AZA,43.6,SDL,43.2
Green Valley Hospital,New York,NY,JFK,25.3,LGA,35.6,EWR,9.6
Sunrise Hospital,Miami,FL,MIA,21.6,FLL,6.1,PBI,19.0
City Medical Center,San Francisco,CA,SFO,19.9,OAK,36.2,SJC,10.2
Northside Hospital,St. Louis,MO,STL,26.1,CPS,10.0,BLV,26.4
City Medical Center,New York,NY,JFK,3.3,LGA,2.2,EWR,37.7
Central Clinic,New York,NY,JFK,7.8,LGA,40.8,EWR,41.6
Memorial Hospital,Phoenix,AZ,PHX,33.8,AZA,33.6,SDL,20.7
Community Hospital,San Francisco,CA,SFO,25.4,OAK,5.1,SJC,5.0
Downtown Medical Center,Chicago,IL,ORD,1.9,MDW,26.9,RFD,28.8
Harbor Hospital,Los Angeles,CA,LAX,22.3,BUR,39.5,LGB,1.3
Urban Health Clinic,Phoenix,AZ,PHX,28.4,AZA,48.7,SDL,7.0
General Hospital,Phoenix,AZ,PHX,23.5,AZA,8.8,SDL,9.4
West End Hospital,Miami,FL,MIA,2.3,FLL,35.9,PBI,13.1
Sunrise Hospital,St. Louis,MO,STL,14.5,CPS,41.7,BLV,44.2
West End Hospital,Los Angeles,CA,LAX,28.8,BUR,16.8,LGB,10.5
West End Hospital,San Francisco,CA,SFO,33.6,OAK,49.1,SJC,23.7
City Medical Center,Washington,DC,DCA,36.7,IAD,25.4,BWI,37.1
Lakeside Medical Center,Seattle,WA,SEA,46.9,PAE,7.6,BFI,32.4
City Health Clinic,New York,NY,JFK,46.7,LGA,47.8,EWR,10.1
Northside Hospital,St. Louis,MO,STL,34.1,CPS,5.6,BLV,49.5
Coastal Health Center,San Francisco,CA,SFO,33.6,OAK,32.9,SJC,32.5
Harbor Hospital,Seattle,WA,SEA,43.9,PAE,13.8,BFI,22.6
St. Mary's Hospital,New York,NY,JFK,18.7,LGA,27.8,EWR,43.5
Pine Valley Hospital,Atlanta,GA,ATL,40.0,PBI,44.8,BHM,7.6
Riverfront Medical Center,Chicago,IL,ORD,21.8,MDW,15.0,RFD,49.3
St. Mary's Hospital,Seattle,WA,SEA,13.0,PAE,11.6,BFI,5.5
Riverfront Medical Center,Miami,FL,MIA,31.1,FLL,24.7,PBI,9.0
City Health Clinic,Phoenix,AZ,PHX,15.5,AZA,22.7,SDL,37.3
Valley Health Center,Atlanta,GA,ATL,35.7,PBI,42.7,BHM,8.1
Lakeside Medical Center,Phoenix,AZ,PHX,4.5,AZA,45.9,SDL,17.6
City Medical Center,San Francisco,CA,SFO,13.8,OAK,40.5,SJC,18.3
Northeast Medical Center,Chicago,IL,ORD,34.0,MDW,5.9,RFD,7.9
Downtown Medical Center,Miami,FL,MIA,44.8,FLL,23.3,PBI,28.0
Southern Health Clinic,Los Angeles,CA,LAX,3.2,BUR,1.5,LGB,31.6
City Health Clinic,Miami,FL,MIA,22.1,FLL,2.6,PBI,12.2
Memorial Hospital,Atlanta,GA,ATL,36.8,PBI,13.5,BHM,6.7
Central Clinic,Los Angeles,CA,LAX,46.1,BUR,49.9,LGB,18.5
Sunrise Hospital,St. Louis,MO,STL,33.0,CPS,13.3,BLV,47.3
Urban Health Clinic,St. Louis,MO,STL,15.2,CPS,12.9,BLV,21.9
Memorial Hospital,Phoenix,AZ,PHX,49.9,AZA,45.3,SDL,36.0
Pine Valley Hospital,Seattle,WA,SEA,14.5,PAE,37.4,BFI,8.7
City Health Clinic,St. Louis,MO,STL,33.3,CPS,26.1,BLV,22.5
Harbor Hospital,Chicago,IL,ORD,31.4,MDW,10.6,RFD,42.5
Memorial Hospital,St. Louis,MO,STL,2.6,CPS,6.8,BLV,24.0
Urban Health Clinic,Washington,DC,DCA,22.6,IAD,20.7,BWI,40.1
Riverfront Medical Center,San Francisco,CA,SFO,49.6,OAK,2.4,SJC,37.9
Pine Valley Hospital,St. Louis,MO,STL,38.0,CPS,19.3,BLV,42.6
Memorial Hospital,Chicago,IL,ORD,22.2,MDW,40.6,RFD,6.9
Community Hospital,Chicago,IL,ORD,19.6,MDW,40.7,RFD,9.5
St. Mary's Hospital,Chicago,IL,ORD,19.5,MDW,30.2,RFD,8.9
Pine Valley Hospital,Los Angeles,CA,LAX,1.2,BUR,31.1,LGB,39.2
Harbor Hospital,St. Louis,MO,STL,39.1,CPS,29.1,BLV,16.3
Downtown Medical Center,St. Louis,MO,STL,21.0,CPS,48.0,BLV,4.3
Downtown Medical Center,Miami,FL,MIA,45.4,FLL,26.5,PBI,34.0
Southern Health Clinic,Chicago,IL,ORD,9.5,MDW,33.9,RFD,41.5
Riverfront Medical Center,Atlanta,GA,ATL,25.2,PBI,15.2,BHM,40.5
General Hospital,Los Angeles,CA,LAX,29.8,BUR,6.8,LGB,35.5
City Health Clinic,St. Louis,MO,STL,15.3,CPS,36.4,BLV,3.1
Community Hospital,Seattle,WA,SEA,4.1,PAE,12.6,BFI,19.0
West End Hospital,Miami,FL,MIA,12.0,FLL,28.9,PBI,37.5
Sunrise Hospital,Chicago,IL,ORD,37.0,MDW,17.6,RFD,39.0
Harbor Hospital,New York,NY,JFK,5.2,LGA,34.1,EWR,13.7
Eastside Medical Center,Seattle,WA,SEA,20.1,PAE,8.6,BFI,24.2
Memorial Hospital,New York,NY,JFK,38.8,LGA,12.5,EWR,44.1
City Medical Center,Miami,FL,MIA,29.8,FLL,30.7,PBI,13.3
Harbor Hospital,Chicago,IL,ORD,28.9,MDW,18.6,RFD,4.4
Coastal Health Center,San Francisco,CA,SFO,31.2,OAK,38.5,SJC,40.0
Sunrise Hospital,Los Angeles,CA,LAX,19.2,BUR,41.3,LGB,8.1
Regional Medical Center,Chicago,IL,ORD,43.5,MDW,20.9,RFD,10.9
Southern Health Clinic,Chicago,IL,ORD,4.7,MDW,30.2,RFD,29.2
Coastal Health Center,San Francisco,CA,SFO,4.4,OAK,33.0,SJC,2.4
Northeast Medical Center,New York,NY,JFK,9.4,LGA,39.4,EWR,36.2
Mountain View Hospital,St. Louis,MO,STL,48.6,CPS,29.8,BLV,33.5
Harbor Hospital,Chicago,IL,ORD,42.7,MDW,41.0,RFD,37.7
City Health Clinic,Los Angeles,CA,LAX,42.0,BUR,41.0,LGB,47.9
Main Street Medical Center,Miami,FL,MIA,38.3,FLL,36.9,PBI,7.9
Central Clinic,San Francisco,CA,SFO,45.9,OAK,2.0,SJC,9.4
General Hospital,St. Louis,MO,STL,10.5,CPS,47.9,BLV,17.4
City Health Clinic,San Francisco,CA,SFO,22.8,OAK,20.3,SJC,40.8
